,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,検索,,,,,,,
25,,,,,○砂浜,7〜8,,Setaria viridis P. Beauv. var. pachystachys (Franch.　et Savat.) Makino et Nemoto ,ハマエノコロ,(海),互生,短い披針。長さ4〜8cm、幅5〜10mm,平滑,卵形楕円形・穂,無し,淡緑,食,
26,,,,,○,4〜5,,Carex arenicola Fr. Schm.  ,クロカワズスゲ,(高),根茎節から束生,硬く、幅2〜3mm、有花茎よりも短い,平滑,小さい穂,無し,淡茶,不明,
27,,,,,○砂浜,4〜7,,Carex kobomugi Ohwi  ,コウボウムギ,(海),根出状。詰まった互生,幅約5@の線形。革質で硬い,平滑,紡錘状・穂,無し,緑・淡茶,食,
28,,,,,○,5〜6,,Carex maximowiczii Miq.  ,ゴウソ,(全),根出状。詰まった互生,基部は葉のない鞘が多数集まる。葉は根出状に多数出て、細長い。幅は3-6mm。,平滑,膨らんで垂下る穂,無し,淡緑・淡茶,不明,
29,,,,,○,6〜7,,Carex jackiana Boott. subsp. parciflora Kukenth.　var. parciflora ,グレーンスゲ,(津),根出状。詰まった互生,幅約5〜12@の線形。有花茎より短い,平滑,疎らな小穂,無し,淡緑・淡茶,不明,
30,,,,,○,4〜5,,Carex idzuroei Franch. et Savat.  ,ウマスゲ,(津),根出状。詰まった互生,有花茎より短く、幅4〜8mm、軟質。横断面はM字状。,上向きにややざらつく,線形・短柱状・穂,無し,淡緑,不明,
31,,,,,○,4〜5,,Carex ischnostachya Steudel ,ジュズスゲ,(津),基部は根出状。詰まった互生,稈と同長または稈より長く、幅0.7〜1cm、平坦。苞の葉身は葉状、長さ5〜25cm,平滑,棒状・束・穂,無し,黄緑,不明,
32,,,,○,○,5〜6,,Carex dispalata Boott.,カサスゲ,(匹)(津),基部は根出状。詰まった互生,稈と同長または稈より短く、幅6〜7.5mm、平坦。ややざらつく。苞の葉身は葉状、長さ5〜25cm、上部のものは長さ5mmの刺状、または鱗片状,平滑,細長い穂,無し,淡緑・淡茶,不明,
33,,,,,○砂浜,5〜6,,Carex pumila Thunberg　,コウボウシバ,(海),根出状。詰まった互生,線形、幅約2〜4mm,上向きにざらつく,楕円・円柱状・穂,無し,淡緑・淡紫,不明,
34,,,,○,○,5〜7,,Carex dickinsii Franch. et Savat.,オニスゲ,(津),根出状。詰まった互生,広線形。幅4〜8mm,平滑,突起棍棒状・穂,無し,淡緑・黄緑,不明,
35,,,,○,,7〜9,,Eleocharis kuroguwai Ohwi ,クログワイ,(高),,根元の鞘としてのみ存在。葉身はない,,小さく目立たない穂,無し,白,食,
36,,,,,○,6〜11,,Eleocharis pellucida Ｐresl  ,ハリイ,(津),,根元の鞘としてのみ存在。葉身はない,,狭卵形・小穂,無し,淡茶,不明,
37,,,,○,○,7〜9,,Eleocharis acicularis (Linn.) Roem. et Schult. var.longiseta Svenson,マツバイ,(全),,根元の鞘としてのみ存在。葉身はない,,長卵形・小穂,無し,淡茶,不明,
38,,,,,○砂浜,7〜10,,Fimbristylis sericea (Poir.) R. Br.  ,ビロードテンツキ,(海),根元に集まってつく,茎より短く、幅1.5〜2@の線形。ビロード状の細毛で覆われる,細毛におおわれる,狭卵形・密生・小穂,無し,淡茶,不明,
39,,,,,○,7〜10,,Fimbristylis miliacea (Linn.) Vahl  ,ヒデリコ,(全),根際から叢生,葉は左右から内側に折りたたまれ、上部でくっつく剣形。扁平で幅約2@,平滑,散形・広卵形・小穂,無し,茶,不明,
40,,,,,○,6〜7,,Fimbristylis dichotoma (Linn.) Vahl  ,テンツキ,(全),根際から叢生,幅1.5〜5mm、ときに有毛。,平滑,散形・長卵形・小穂,無し,暗褐,不明,
41,,,,,○,8〜10,,Fimbristylis squarrosa  Vahl  ,アゼテンツキ,(全),根際から叢生,柔らかく糸状。幅約0.5@。花序より短い,平滑,披針形・多数・小穂,無し,淡緑・淡褐,不明,
42,,,,,○,7〜10,,Fimbristylis autumnalis (Linn.) Roem. et Schultes　,ヒメテンツキ,(全),根際から叢生,幅1.5〜2.5@。苞葉は幅広扁平で、花序とほぼ同じ長さかやや短く、直立する。,平滑,披針形・小さい・穂,無し,赤褐,不明,
43,,,,,○,8〜9,,Scirpus wichurai Bocklr. forma borealis Ohwi,エゾアブラガヤ,(匹)(椛),根際から叢生,長さ100〜150B、幅7-15@。,葉縁と裏面中央脈上に上向きの刺状突起あり、著しくざらつく,球形・多数・小穂,無し,茶,不明,
44,,,,○,○,8〜9,,Scirpus fuirenoides Maxim.  ,コマツカサススキ,(匹)(椛),叢生,葉は硬く、幅3〜4@。苞は葉状で、長い。,平滑,球形・多数・小穂,無し,淡褐,不明,
45,,,,○,,5〜8,,Scirpus yagara Ohwi  ,ウキヤガラ,(海),互生,線形で先は細く尖り、基部は鞘状に茎を抱く。,縁はざらつく,散形・狭卵形・小穂,無し,茶・暗褐,薬,
46,,,,○,,7〜9,,Scirpus lineolatus Franch. et Savat,ヒメホタルイ,(津),,根元の鞘としてのみ存在。葉身はない,,長楕円状披針形・仮側生・穂,無し,淡緑,不明,
47,,,,○,,7〜10,,Scirpus pre.nii Dietr.  ,カンガレイ,(椛)(海),,根元の鞘としてのみ存在。葉身はない,,側生・頭状・多数・穂,無し,緑。淡茶,不明,
48,,,,○,,7〜10,,Scirpus triqueter Linn.  ,サンカクイ,(高)(益)(津),,根元の鞘としてのみ存在。葉身はない,,側生・束生・小穂,無し,淡茶,不明,
49,,,,○,,8〜10,,Lipocarpha microcephala (R. Br.) Kunth,ヒンジガヤツリ,(全),,茎の横断面は鋭3稜形。高さ50〜120cm。葉身はない。苞葉は長さ3〜10B。,稜には下向きの細かい刺状突起があり、ややざらつく,小穂・並ぶ,無し,淡緑,不明,
50,,,,○,,8〜10,,Cyperus serotinus Rottb.  ,ミズガヤツリ,(高),植物体は叢生,基部の鞘は赤褐色で2〜8枚の葉がある。苞葉の葉身は葉状で2〜3枚が花序より長い。,平滑,卵型・穂,無し,茶・淡茶,不明,
51,,,,○,○,8〜9,,Cyperus sanguinolentus Vahl  ,カワラスガナ,(全),互生,葉は幅1〜2.5mm。苞葉の葉身は3枚で葉状、花序より長い。,平滑,小穂・多数,無し,赤紫,不明,
52,,,,○,○,7〜9,,Cyperus pilosus Vahl  ,オニガヤツリ,(高)(益),互生,茎葉は茎より少し短く、長さ30〜50cm、幅4〜10mm。苞葉は2〜3個が花序よりも長い。,平滑,小穂・多数,無し,茶・淡茶,不明,
53,,,,,○,8〜10,,Cyperus orthostahyus Franch. et Savat.  ,ウシクグ,(全),互生,茎葉は稈より長く、幅3〜8mm。苞葉の葉身は3〜4枚が花序より長く40cmに達することがある。,縁はざらつく。,小穂・多数,無し,暗紫褐,不明,
54,,,,,○,8〜10,,Cyperus iria Linn.  ,コゴメガヤツリ,(全),多数が根出葉。,葉は幅2-6mmで線形。苞葉の葉身は4〜5枚、2〜3枚は花序より長い。,平滑,複生・斜上・小穂,無し,緑・淡緑,不明,
55,,,,○,○,8〜10,,Cyperus microiria Steud. ,カヤツリグサ,(全),互生,は稈より短く、幅2〜4mm。苞葉の葉身は4〜6枚、うち3〜4枚は花序よりはなはだ長い。,平滑,散形・複生・掌状・穂,無し,黄褐,不明,
56,,,,,○,7〜10,,Cyperus nipponicus Franch. et Savat. ,アオガヤツリ,(全),植物体は叢生。,葉は幅1〜2.5@の線形。根元にまばらにつく。花茎の先に、茎より長い葉状の苞が3〜4個つく。,平滑,頭状・披針形・小穂,無し,淡緑・淡茶,不明,
57,,,,,○,7〜10,,Kyllinga brevifolia Rottb. var. leiolepis(Franch.　et Savat･) Hara,ヒメクグ,(全),基部は根出状。詰まった互生,根出葉は柔らかく扁平、幅は2〜3mm、やや平滑。苞葉は3枚前後つき、葉状で長い。,平滑,球状・穂,無し,淡緑,不明,
58,,,,,○,3〜5,,Acorus gramineus Soland. ,セキショウ,(高),根生葉,線形で濃い緑色、長さ20〜50cm、幅3〜10mmで中央の脈は隆起せず平滑、湾曲する。,平滑,棒状・肉穂花序・穂,5,黄緑・淡黄,薬,
59,,,○,,,7〜8（稀）,,Spirodela polyrhiza (Linn.) Schleid.　,ウキクサ,(全),2〜4個の葉状体がつながり群体（コロニー）をなす。,葉状体は広倒卵形、長さ3〜10mm、幅2〜8mm,全縁,目立たない・極小,無し,白,食,
60,,,,,○,8〜9,,Eriocaulon miquelianum Koern.  ,イヌノヒゲ,(津),根際から叢生,線形、長さ6〜25cm、基部の幅3〜7mm、先は次第に細くなってやや硬く、鋭頭。,平滑,小頭状,3,白半透明,不明,
61,,,,○,○,8〜10,,Aneilema japonicum (Thunb.) Kunth　,イボクサ,(全),互生,葉身は挟披針形で長さ2〜7cm、幅4〜10mmで質は軟らかい。,全縁,3弁,3,紫・淡赤紫,不明,
62,,,,○,,7〜10,準絶滅危惧種（環）,Monochoria korsakowii Regel et Maack　,ミズアオイ,(全),互生,5〜25cmの葉柄があり、心形でつやがある。,全縁,ユリ型,6,青,食,
63,,,,○,○,9〜11,,Monochoria vaginalis (Burm. fil.) Presl  ,コナギ,(全),互生,葉の形は変化に富み倒披針形、卵形、卵唇形など。葉身は長さ2.5〜6cm、幅0.7〜4cm。,全縁,ユリ型,6,青,食,
64,,,,,○,6〜7,,Juncus tenuis Willd.  ,クサイ,(全),互生,葉は扁平で細い。葉鞘と葉身の境に灰白色の膜質の葉耳がある。,平滑,集散花序,6,淡緑,不明,
65,,,,○,○,6〜7,,Juncus effusus Linn. var. decipiens Buchen.  ,イ,(高)(益),,根元の鞘としてのみ存在。葉身はない,,偽側生・集合花・穂,6,茶・淡茶,食,
66,,,,○,○,6〜7,,Juncus effusus Linn. var. decipiens Buchen. forma　utilis Makino,コヒゲ,(高)(益),,根元の鞘としてのみ存在。葉身はない,,偽側生・集合花・穂,6,茶・淡茶,食,
67,,,,○,○,6〜7,,Juncus krameri Franch. et Savat. ,タチコウガイゼキショウ,(匹),互生,茎葉は2〜3個、茎よりいちじるしく短く、円筒状で単管質、隔壁はごく明瞭。葉耳は突出せず、ごく小さく不明瞭,平滑,凹集散状・頭花,2,緑,不明,
68,,,,○,○,6〜7,,Juncus leschenaultii Gay　,コウガイゼキショウ,(匹),互生,開花前の下方の葉の径約1mm。,平滑,球形頭花・集散状・穂,2,淡緑・淡茶,不明,
69,,,,,○,7〜9,,Juncus papillosus Franch. et Savat.,アオコウガイゼキショウ,(津),互生,葉は茎より短く、長さ20〜30B、幅1〜2@。,平滑,多数の頭花・穂,6,緑・淡茶,不明,
70,,,,,○（海岸）,5〜6,,Asparagus lucidus Lindley,クサスギカズラ,(海),互生,葉は退化して鱗片状または刺状になり目立たない。葉のように見えるのは葉腋から出た小枝が変化したもの,,ユリ型,6,白,食,
71,,,,○,○,5〜6,,Iris laevigata Fisch.,カキツバタ,(匹),互生,剣状広線形で黄緑色。中央脈が目立つ。,平滑,アヤメ型,3,青紫,毒,
72,,,,,○,4〜5,,Iris japonica Thunb. ,シャガ,(全),互生,状で長さ30〜60cm，幅２〜3cm，横伏する根茎から２列に並んで出る。単面葉（葉の表を内側に折りたたんで合着し、裏面のみとなったもの）,平滑,アヤメ型,3,白,毒,
73,,,,,○,6〜7,,Iris ensata Thunb. var. spontanea (Makino) Nakai,ノハナショウブ,(匹),互生,剣状、主脈がよく発達し、長さ30〜60B、幅5〜15@。,平滑,アヤメ型,3,紫・赤紫,毒,
74,,,,○,○,4〜6,外来種,Iris pseudacorus,キショウブ,(全),互生,"剣状,60ｃｍ〜1ｍ 　幅 2ｃｍ〜3ｃｍ",平滑,アヤメ型,3,黄,毒,
75,,,,,○,6〜7,,Platanthera hologlottis Maxim.  ,ミズチドリ,(匹),互生,線状披針形で、基部が鞘状になって茎を抱く。下方の葉は長さ10-20cm、幅1-2cm、上方では小さくなる。,全縁,蘭型,6,白,不明,
,11,4,1,33,52,,,,,,,,,,,,,
,,,,,,,,Schoenoplectus tabernaemontani 　(C.C.Gmel.) Palla,フトイ,,,,,,,,,
,,,,,,,,Blyxa echinosperma (C.B.Clarke) Hook.f.,スブタ,,,,,,,,,
,,,,,,,,,セキショウモ,,,,,,,,,
